No    Ref    V       B-V     
 0695   548  20.235   1.436         
 0696   548  19.674   1.696         
 0697   548  16.787   1.964         
 0698   548  21.280  -0.051         
 0699   548  19.736   2.568         
 0700   548  18.296   1.902         
 0701   548  18.129   1.898         
 0702   548  19.920   2.088         
 0703   548  18.869   1.666         
 0704   548  18.281   2.037         
 0705   548  19.527   2.154         
 0706   548  17.990   1.904         
 0707   548  20.841  -0.132         
 0708   548  12.684   0.814         
 0709   548  17.249   1.964         
 0710   548  18.969   1.992         
 0711   548  17.111   2.035         
 0712   548  19.375   1.930         
 0713   548  18.814   2.004         
 0714   548  14.876   1.114         
 0715   548  20.783   2.561         
 0716   548  17.052   2.085         
 0717   548  18.721   2.071         
 0718   548  15.158   1.408         
 0719   548  18.803   2.519         
 0720   548  18.773   1.938         
 0721   548  19.574   3.588         
 0722   548  21.542   0.209         
 0723   548  19.978   3.340         
 0724   548  21.734   0.809         
 0725   548  20.063   2.086         
 0726   548  20.720   1.780         
 0727   548  18.883   2.025         
 0728   548  18.308   1.787         
 0729   548  21.798  -0.431         
 0730   548  16.369   1.537         
 0731   548  17.878   3.542         
 0732   548  18.745   1.792         
 0733   548  17.848   1.975         
 0734   548  19.663   2.023         
 0735   548  22.565  -2.056         
 0736   548  19.345   2.150         
 0737   548  20.306  -1.617         
 0738   548  19.712   1.927         
 0739   548  19.801   2.256         
 0740   548  18.055   1.714         
 0741   548  18.819   2.061         
 0742   548  14.808   0.985         
 0743   548  18.343   1.985         
 0744   548  16.595   1.951         
 0745   548  21.233   0.773         
 0746   548  18.204   1.568         
 0747   548  17.762   2.241         
 0748   548  18.469   1.630         
 0749   548  12.755   0.644         
 0750   548  18.819  -0.501         
 0751   548  20.296   1.617         
 0752   548  17.947   1.786         
 0753   548  19.417   2.485         
 0754   548  19.969   2.278         
 0755   548  20.082   1.651         
 0756   548  18.653   1.828         
 0757   548  17.350   1.817         
 0758   548  17.490   2.795         
 0759   548  19.317   2.601         
 0760   548  20.113   1.963         
 0761   548  18.718   1.839         
 0762   548  20.369   1.918         
 0763   548  20.397   0.632         
 0764   548  17.326   1.837         
 0765   548  20.991   1.899         
 0766   548  16.014   1.182         
 0767   548  19.469   2.001         
 0768   548  20.627   1.988         
 0769   548  19.549   1.904         
 0770   548  20.413   2.284         
 0771   548  18.213   1.713         
 0772   548  16.753   2.711         
 0773   548  19.187   2.042         
 0774   548  18.615   1.999         
 0775   548  19.539   1.923         
 0776   548  21.787   0.299         
 0777   548  17.347   3.194         
 0778   548  18.890   1.851         
 0779   548  19.717   2.415         
 0780   548  17.358   1.850         
 0781   548  18.524   1.952         
 0782   548  19.962   2.518         
 0783   548  18.634   2.136         
 0784   548  20.733   1.525         
 0785   548  17.498   1.886         
 0786   548  13.531   4.228         
 0787   548  18.315   1.815         
 0788   548  16.360   2.857         
 0789   548  20.964   1.875         
 0790   548  19.247   2.324         
 0791   548  19.939   2.603         
 0792   548  19.262   1.994         
 0793   548  18.287   1.956         
 0794   548  20.669  -0.682         
 0795   548  20.186   3.002         
 0796   548  19.300   2.418         
 0797   548  17.913   1.950         
 0798   548  16.578   1.375         
 0799   548  17.203   1.626         
 0800   548  20.686   0.851         
 0801   548  23.225  -1.358         
 0802   548  17.174   1.789         
 0803   548  17.109   1.668         
 0804   548  21.357   1.373         
 0805   548  21.918   0.076         
 0806   548  20.441   2.038         
 0807   548  17.456   1.520         
 0808   548  14.701   2.478         
 0809   548  20.804   1.686         
 0810   548  18.349   2.081         
 0811   548  19.349   2.240         
 0812   548  14.854   2.620         
 0813   548  19.235   2.423         
 0814   548  19.767   0.747         
 0815   548  19.788   1.833         
 0816   548  16.857   2.097         
 0817   548  19.195   2.187         
 0818   548  16.943   1.677         
 0819   548  17.671   1.516         
 0820   548  21.994  -0.576         
 0821   548  21.533   1.389         
 0822   548  19.069   1.919         
 0823   548  17.013   1.466         
 0824   548  22.961  -0.742         
 0825   548  19.407   2.142         
 0826   548  22.029   1.239         
 0827   548  19.175   2.301         
 0828   548  20.645   2.703         
 0829   548  15.911   1.594         
 0830   548  17.454   1.829         
 0831   548  18.726   1.908         
 0832   548  21.060   2.828         
 0833   548  20.071   1.999         
 0834   548  20.259   1.833         
 0835   548  18.069   1.527         
 0836   548  21.283   2.613         
 0837   548  20.254  -0.436         
 0838   548  21.004   1.196         
 0839   548  19.115   1.851         
 0840   548  20.770   1.679         
 0841   548  21.740   1.695         
 0842   548  19.900   1.902         
 0843   548  19.290   2.061         
 0844   548  19.736   2.027         
 0845   548  20.817   2.197         
 0846   548  23.563   0.334         
 0847   548  20.011   2.868         
 0848   548  19.803   1.705         
 0849   548  22.841  -1.498         
 0850   548  19.513   2.213         
 0851   548  18.729   2.122         
 0852   548  21.099  -1.392         
 0853   548  16.811   1.567         
 0854   548  16.684   1.514         
 0855   548  19.110   1.796         
 0856   548  21.587   0.371         
 0857   548  19.563   1.718         
 0858   548  22.541  -1.194         
 0859   548  21.005   2.393         
 0860   548  17.040   2.221         
 0861   548  22.195  -0.267         
 0862   548  17.930   1.681         
 0863   548  20.692   1.600         
 0864   548  16.395   1.418         
 0865   548  18.550   2.130         
 0866   548  20.576   1.946         
 0867   548  20.743   1.680         
 0868   548  20.409   3.038         
 0869   548  18.250   2.037         
 0870   548  18.137   1.743         
 0871   548  20.467   1.317         
 0872   548  19.075   1.887         
 0873   548  20.793   1.050         
 0874   548  21.128  -0.017         
 0875   548  19.613   1.862         
 0876   548  20.817  -0.986         
 0877   548  20.211   3.227         
 0878   548  19.829   1.816         
 0879   548  20.857   1.783         
 0880   548  20.305   1.083         
 0881   548  19.417   2.588         
 0882   548  19.948   1.846         
 0883   548  20.308   1.789         
 0884   548  19.033   1.712         
 0885   548  15.705   1.344         
 0886   548  19.324   1.824         
 0887   548  15.939   1.248         
 0888   548  20.119   2.345         
 0889   548  19.405   2.225         
 0890   548  17.958   1.542         
 0891   548  21.527   1.488         
 0892   548  19.970   2.092         
 0893   548  19.512   2.301         
 0894   548  20.931   0.163         
 0895   548  18.684   1.876         
 0896   548  17.092   1.908         
 0897   548  21.345   0.294         
 0898   548  21.888   0.276         
 0899   548  19.063   2.604         
 0900   548  19.387   1.922         
 0901   548  17.499   1.925         
 0902   548  20.042   1.966         
 0903   548  16.113   3.114         
 0904   548  19.632   2.592         
 0905   548  16.990   1.449         
 0906   548  19.733   2.033         
 0907   548  17.161   1.654         
 0908   548  20.058   0.499         
 0909   548  21.163   3.381         
 0910   548  18.947   1.719         
 0911   548  18.200   1.955         
 0912   548  18.874   2.004         
 0913   548  21.424  -1.189         
 0914   548  19.174   2.309         
 0915   548  18.570   1.789         
 0916   548  13.300   0.753         
 0917   548  17.899   1.717         
 0918   548  17.395   1.516         
 0919   548  18.044   1.792         
 0920   548  19.727   1.912         
 0921   548  14.695   1.397         
 0922   548  19.477   2.394         
 0923   548  21.614   0.828         
